X,Y
124.484,2.110
123.758,2.110
123.031,2.110
122.305,2.110
121.578,2.110
120.851,2.110
120.125,2.110
119.398,2.110
118.671,2.110
118.187,2.101
117.729,2.090
117.271,2.080
116.813,2.069
116.355,2.059
115.897,2.049
115.439,2.038
114.981,2.028
114.523,2.018
114.065,2.007
113.608,1.997
113.150,1.986
112.692,1.976
112.234,1.966
111.776,1.955
111.318,1.945
125.188,1.940
152.042,1.939
178.897,1.938
205.752,1.938
232.606,1.937
259.461,1.937
286.316,1.936
313.170,1.935
340.025,1.935
366.880,1.934
393.734,1.934
420.589,1.933
447.444,1.932
474.298,1.932
501.153,1.931
528.008,1.931
551.209,1.931
553.303,1.936
555.398,1.940
557.492,1.945
559.587,1.950
561.681,1.955
563.775,1.960
565.870,1.965
567.964,1.970
570.059,1.975
572.153,1.980
574.247,1.984
576.342,1.989
578.436,1.994
580.531,1.999
582.625,2.004
584.719,2.009
571.279,2.009
553.211,2.007
535.143,2.005
517.075,2.003
499.007,2.001
480.939,1.999
462.871,1.998
444.803,1.996
426.735,1.994
408.667,1.992
390.599,1.990
372.531,1.988
354.463,1.987
336.395,1.985
318.327,1.983
300.259,1.981
290.357,1.978
293.044,1.973
295.730,1.968
298.417,1.963
301.104,1.959
303.790,1.954
306.477,1.949
309.164,1.944
311.851,1.939
314.537,1.934
317.224,1.929
319.911,1.924
322.597,1.919
325.284,1.915
327.971,1.910
330.657,1.905
333.233,1.900
329.123,1.897
325.014,1.894
320.904,1.891
316.795,1.888
312.686,1.885
308.576,1.882
304.467,1.879
300.357,1.876
296.248,1.872
292.139,1.869
288.029,1.866
283.920,1.863
279.810,1.860
275.701,1.857
271.591,1.854
267.482,1.851
266.211,1.850
266.541,1.850
266.870,1.850
267.200,1.850
267.530,1.850
267.859,1.850
268.189,1.850
268.519,1.850
268.849,1.850
269.178,1.850
269.508,1.850
269.838,1.850
270.168,1.850
270.497,1.850
270.827,1.850
271.157,1.850
275.297,1.850
290.153,1.850
305.009,1.850
319.865,1.850
334.721,1.850
349.577,1.850
364.434,1.850
379.290,1.850
394.146,1.850
409.002,1.850
423.858,1.850
438.714,1.850
453.571,1.850
468.427,1.850
483.283,1.850
498.139,1.850
512.995,1.850
510.176,1.859
505.065,1.868
499.954,1.878
494.843,1.888
489.732,1.898
484.622,1.907
479.511,1.917
474.400,1.927
469.289,1.937
464.178,1.947
459.068,1.956
453.957,1.966
448.846,1.976
443.735,1.986
438.624,1.995
433.514,2.005
425.542,2.009
414.801,2.008
404.060,2.007
393.320,2.006
382.579,2.004
371.838,2.003
361.098,2.002
350.357,2.001
339.617,2.000
328.876,1.998
318.135,1.997
307.395,1.996
296.654,1.995
285.913,1.994
275.173,1.992
264.432,1.991
255.064,1.990
254.789,1.993
254.514,1.997
254.240,2.000
253.965,2.003
253.690,2.006
